scenario,theta_multiplier,theta_per_m,exchange_coefficient,boundary_layer_depth_m,comparison_hour,final_wind_ms,final_core_moisture,final_central_pressure_hpa,final_rmw_km,delta_wind_ms,delta_core_moisture,delta_central_pressure_hpa,delta_rmw_km
open_ocean_intensifying,0.97,6.466666666666666e-07,0.0011639999999999999,1800.0,48.0,47.44318412896845,0.8583795755232961,953.8175647512797,29.88982967147752,-0.13466894665886286,-0.0005313022156573366,0.0670587305164645,0.08235268741301383
open_ocean_intensifying,0.98,6.533333333333333e-07,0.001176,1800.0,48.0,47.489425113769414,0.8585634607069431,953.7951704550901,29.861506419154242,-0.08842796185789581,-0.00034741703201035534,0.04466443432681899,0.05402943508973479
open_ocean_intensifying,0.99,6.599999999999999e-07,0.0011879999999999998,1800.0,48.0,47.534307750902336,0.8587405140749421,953.7728173146805,29.83406130546375,-0.043545324724973966,-0.0001703636640113526,0.02231129391725517,0.026584321399241162
open_ocean_intensifying,1.0,6.666666666666666e-07,0.0012,1800.0,48.0,47.57785307562731,0.8589108777389535,953.7505060207633,29.807476984064508,0.0,0.0,0.0,0.0
open_ocean_intensifying,1.01,6.733333333333333e-07,0.001212,1800.0,48.0,47.620082115256636,0.8590746917608842,953.7282372539169,29.781736357483545,0.04222903962932634,0.00016381402193077488,-0.022268766846423205,-0.0257406265809621
open_ocean_intensifying,1.02,6.8e-07,0.0012239999999999998,1800.0,48.0,47.66101587512907,0.8592320941517753,953.706011684621,29.756822576429585,0.08316279950175698,0.0003212164128217898,-0.04449433614229292,-0.050654407634922904
open_ocean_intensifying,1.03,6.866666666666666e-07,0.001236,1800.0,48.0,47.700675325142214,0.8593832208722076,953.6838299732666,29.73271903897125,0.12282224951490406,0.00047234313325417165,-0.06667604749668499,-0.07475794509325695
open_ocean_intensifying,1.04,6.933333333333333e-07,0.001248,1800.0,48.0,47.73908138683594,0.8595282058341714,953.6616927701918,29.709409389588238,0.16122831120863168,0.0006173280952179727,-0.08881325057143385,-0.09806759447626945
open_ocean_intensifying,1.05,7e-07,0.0012599999999999998,1800.0,48.0,47.77625492101853,0.8596671809043367,953.639600715707,29.686877518102033,0.19840184539121708,0.0007563031653832208,-0.11090530505623519,-0.12059946596247428
open_ocean_intensifying,1.06,7.066666666666666e-07,0.001272,1800.0,48.0,47.81221671592847,0.8598002759086746,953.6175544401187,29.665107558494068,0.23436364030116152,0.0008893981697211117,-0.13295158064454426,-0.14236942557043974
open_ocean_intensifying,1.07,7.133333333333333e-07,0.001284,1800.0,48.0,47.84698747592165,0.8599276186383558,953.595554563762,29.644083887617597,0.269134400294341,0.0010167408994022908,-0.15495145700128887,-0.16339309644691014
open_ocean_intensifying,1.08,7.2e-07,0.001296,1800.0,48.0,47.88058781067683,0.8600493348568924,953.5736016970291,29.62379112380925,0.3027347350495191,0.001138457117938918,-0.17690432373422027,-0.18368586025525602
open_ocean_intensifying,1.09,7.266666666666667e-07,0.001308,1800.0,48.0,47.913038224908,0.8601655483084414,953.5516964403992,29.60421412540694,0.3351851492806901,0.0012546705694879146,-0.19880958036412721,-0.20326285865756688
open_ocean_intensifying,1.1,7.333333333333333e-07,0.00132,1800.0,48.0,47.94435910857588,0.8602763807272298,953.5298393844735,29.585337989179855,0.3665060329485712,0.0013655029882763126,-0.22066663628982042,-0.22213899488465216
open_ocean_intensifying,1.11,7.4e-07,0.001332,1800.0,48.0,47.97457072758726,0.8603819518480423,953.5080311100022,29.567148048675513,0.39671765195995334,0.0014710741090888657,-0.24247491076107508,-0.24032893538899458
open_ocean_intensifying,1.12,7.466666666666667e-07,0.001344,1800.0,48.0,48.003693214972515,0.86048237941771,953.486272187925,29.549629872490105,0.4258401393452047,0.0015715016787565261,-0.26423383283827206,-0.257847111574403
