SID,NAME,typhoon_id,measure_type,station_id,station_name,station_lat,station_lon,distance_to_landfall_km,observation_time_local,observation_time_utc,time_offset_hours,tdb_wind_ms,averaging_window_minutes,codis_wind_ms,codis_observation_time_utc,tdb_minus_codis_ms,comparison_status,source_url,raw_sha256,evidence_label
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0A9G0,南港,25.06,121.6,130.23970896043585,2015-08-08T03:00:00+08:00,2015-08-07T19:00:00+00:00,-2.7748664766666664,10.7,,10.7,2015-08-07T19:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0A9I1,三重,25.06,121.49,130.65743283262185,2015-08-08T03:00:00+08:00,2015-08-07T19:00:00+00:00,-2.7748664766666664,8.9,,8.9,2015-08-07T19:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0AC40,大屯山,25.18,121.52,143.77306052119158,2015-08-07T23:00:00+08:00,2015-08-07T15:00:00+00:00,-6.774866476666667,27.1,,27.1,2015-08-07T15:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0AC60,三峽,24.94,121.37,119.06227725682243,2015-08-08T05:00:00+08:00,2015-08-07T21:00:00+00:00,-0.7748664766666666,7.7,,7.7,2015-08-07T21:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0AC70,信義,25.04,121.56,128.05861955642814,2015-08-08T05:00:00+08:00,2015-08-07T21:00:00+00:00,-0.7748664766666666,4.7,,4.7,2015-08-07T21:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0AC80,文山,25.0,121.58,123.57368546222396,2015-08-08T05:00:00+08:00,2015-08-07T21:00:00+00:00,-0.7748664766666666,14.9,,14.9,2015-08-07T21:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0ACA0,新莊,25.05,121.45,129.93868416986734,2015-08-08T03:00:00+08:00,2015-08-07T19:00:00+00:00,-2.7748664766666664,9.8,,9.8,2015-08-07T19:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0AD00,三芝,25.26,121.5,152.7690233627465,2015-08-08T10:00:00+08:00,2015-08-08T02:00:00+00:00,4.225133523333334,11.3,,11.3,2015-08-08T02:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0AD10,八里,25.15,121.4,141.60326211472093,2015-08-08T06:00:00+08:00,2015-08-07T22:00:00+00:00,0.22513352333333334,8.6,,8.6,2015-08-07T22:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0AD20,深坑,25.0,121.62,123.59567707436723,2015-08-08T05:00:00+08:00,2015-08-07T21:00:00+00:00,-0.7748664766666666,9.8,,9.8,2015-08-07T21:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
