SID,NAME,crossing_time,crossing_lon,crossing_lat,JTWC,JMA,CMA,HKO,KMA,JTWC_minus_CMA_ms,JMA_minus_CMA_ms,CMA_minus_CMA_ms,HKO_minus_CMA_ms,KMA_minus_CMA_ms
2016185N08145,NEPARTAK,2016-07-07 22:04:18.336536832+00:00,120.953510639328,22.535725338304,49.29505924717777,41.06326403043727,48.204013632283505,52.17879648502747,47.05281034560668,1.0910456148942629,-7.140749601846238,0.0,3.9747828527439637,-1.1512032866768251
2016207N17116,MIRINAE,2016-07-26 13:42:07.433651212+00:00,110.5312192709918,18.78510324515573,20.850896179044316,20.57777777777778,25.267811466414067,19.848096249868437,19.479588111005864,-4.416915287369751,-4.690033688636287,0.0,-5.4197152165456295,-5.788223355408203
2016211N11128,NIDA,2016-08-02 00:28:16.119432963+00:00,113.39791873783088,22.84711442869343,28.142472170802662,22.74603739842485,23.317795902487852,27.688500542081716,28.36453002715622,4.824676268314811,-0.571758504063002,0.0,4.370704639593864,5.046734124668369
2016228N22117,DIANMU,2016-08-19 04:32:11.798714697+00:00,106.69267784918344,20.651220358469423,19.72077849574029,20.57777777777778,21.73013333333333,23.15,19.51122049079931,-2.0093548375930403,-1.1523555555555518,0.0,1.4198666666666675,-2.2189128425340208
2016230N15138,MINDULLE,2016-08-22 04:58:07.729280965+00:00,139.91406780742977,35.62501698377518,29.117128253320292,31.308740057333644,28.64426666666667,28.736517835111425,24.62096227955587,0.47286158665362166,2.6644733906669735,0.0,0.09225116844475423,-4.023304387110802
2016253N13144,MERANTI,2016-09-14 20:04:11.010695957+00:00,118.1240366408905,24.61045877899822,38.191269525021426,33.34921454303379,40.851380174415056,43.54842908606758,33.95144441282829,-2.66011064939363,-7.502165631381267,0.0,2.697048911652523,-6.899935761586768
2016255N12114,RAI,2016-09-12 19:03:47.627275665+00:00,108.63419255030097,15.488602483233004,14.353000000000002,18.005555555555556,16.79146666666667,15.433333333333334,18.30514756023323,-2.438466666666667,1.214088888888888,0.0,-1.3581333333333347,1.513680893566562
2016256N12146,MALAKAS,2016-09-20 03:59:31.752366494+00:00,135.22993315522615,33.79803835878431,27.914867874748616,29.165307257523896,27.010961633889607,32.588209184317506,30.874739910069895,0.9039062408590084,2.1543456236342884,0.0,5.577247550427899,3.8637782761802875
2016265N10150,MEGI,2016-09-27 05:57:07.519648683+00:00,121.61357484246474,24.092813318695157,47.90063913153803,41.176095268173725,43.021610747517634,46.32053971261817,43.22565716090424,4.879028384020394,-1.8455154793439092,0.0,3.2989289651005365,0.20404641338660667
2016287N12131,SARIKA,2016-10-15 18:30:24.699955694+00:00,121.63949398537868,15.742238424900346,53.40317169974752,48.00304930093953,51.306859161127434,50.57527152316175,42.86566416482026,2.096312538620083,-3.3038098601879042,0.0,-0.7315876379656814,-8.441194996307175
2016288N06146,HAIMA,2016-10-19 15:54:46.427398858+00:00,122.15656093341784,17.62607470830692,52.7318497116708,48.089498001197704,51.169111020851275,48.984247001796554,50.34863053501011,1.562738690819522,-3.0796130196535714,0.0,-2.1848640190547215,-0.8204804858411663
2017161N13119,MERBOK,2017-06-12 16:53:35.560898301+00:00,114.58155352267732,22.733981704095896,17.62770763004132,24.098968777822208,23.005547370726376,21.526746555599985,20.253127088897777,-5.377839740685054,1.093421407095832,0.0,-1.478800815126391,-2.7524202818285985
2017182N15132,NANMADOL,2017-07-04 03:19:20.713009889+00:00,132.504199510999,33.18761569939455,23.92166666666667,25.722222222222225,23.7056,25.722222222222225,26.751111111111115,0.21606666666666996,2.0166222222222245,0.0,2.0166222222222245,3.0455111111111144
2017195N16114,TALAS,2017-07-16 17:25:27.181843274+00:00,105.83434932497296,18.58080723928958,21.759061412063907,25.722222222222225,23.7056,25.722222222222225,20.557013789384744,-1.946538587936093,2.0166222222222245,0.0,2.0166222222222245,-3.1485862106152567
2017200N26162,NORU,2017-08-05 16:58:22.859152389+00:00,130.43153442874797,30.248650821560968,35.88250000000001,30.866666666666667,32.368256094419394,39.02360499291246,35.68665687754883,3.5142439055806136,-1.5015894277527266,0.0,6.655348898493067,3.3184007831294338
2017206N13129,NESAT,2017-07-29 11:39:10.886742894+00:00,121.85204638571275,24.5306048190497,38.41300403224718,41.15555555555556,36.16650655566218,38.732083188796246,32.074055382111055,2.2464974765849988,4.989048999893377,0.0,2.5655766331340644,-4.092451173551126
2017209N19118,HAITANG,2017-07-30 09:35:35.202595726+00:00,120.41977039440484,22.478507563631673,19.137333333333338,21.609619649737336,19.95561516983074,23.15,23.562736748783824,-0.8182818364974018,1.6540044799065967,0.0,3.194384830169259,3.607121578953084
2017232N19130,HATO,2017-08-23 05:23:14.189547836+00:00,113.06339336682686,22.128515402013228,40.91112343688194,38.583333333333336,40.30580451536343,46.3,32.21076859239246,0.60531892151851,-1.722471182030091,0.0,5.99419548463657,-8.095035922970965
2017236N15129,PAKHAR,2017-08-25 13:29:16.110872106+00:00,122.02723509447604,16.17357766715159,20.343137973034867,22.512170953244553,21.73013333333333,20.57777777777778,22.121111111111112,-1.3869953602984637,0.7820376199112218,0.0,-1.1523555555555518,0.3909777777777812
2017242N19122,MAWAR,2017-09-03 14:07:21.672412488+00:00,115.85235320885454,22.776890565103905,15.052559812709118,21.32999263015317,19.109322720753894,19.66777409285437,18.243325963486505,-4.056762908044776,2.2206699093992768,0.0,0.5584513721004747,-0.8659967572673892
2017253N14130,DOKSURI,2017-09-15 03:59:59.703205714+00:00,106.46668590333331,17.766665292619045,40.6669319418608,41.15555555555556,40.0032,42.87044105748683,33.61056829429645,0.663731941860803,1.152355555555559,0.0,2.8672410574868294,-6.39263170570355
2017284N15134,KHANUN,2017-10-12 16:49:33.984878976+00:00,122.27390838747374,18.2,16.27714201364159,18.005555555555556,16.79146666666667,18.005555555555556,20.68962037015764,-0.5143246530250778,1.214088888888888,0.0,1.214088888888888,3.898153703490973
2017288N09138,LAN,2017-10-22 17:48:51.483709673+00:00,138.1411953263139,34.61953044653481,33.78648192330407,41.314775227582835,38.0888736873918,41.2351653915692,43.26109923494152,-4.30239176408773,3.225901540191032,0.0,3.1462917041773935,5.172225547549715
2017354N08134,TEMBIN,2017-12-21 19:26:56.412652702+00:00,126.38604923849476,7.875849941422675,23.343957015399425,25.10102904881658,25.9531854642367,23.15,22.121111111111112,-2.609228448837275,-0.8521564154201187,0.0,-2.8031854642367016,-3.832074353125588
