scenario,engine,variant,type,final_wind_delta_ms,final_moisture_delta,final_pressure_delta_hpa,final_rmw_delta_km,max_wind_delta_ms,max_pressure_delta_hpa,max_rmw_delta_km,regime_mismatch_steps,max_transition_probability_l1_delta
landfall_transition,fixed_regime,Ck_plus_30pct,one_at_a_time,-2.30097714663394,-0.025156753121195585,-0.3246039787877635,11.878375599829255,2.30097714663394,0.3246039787877635,11.878375599829255,0,0.0
landfall_transition,fixed_regime,boundary_layer_depth_minus_30pct,one_at_a_time,-3.0909098501322045,-0.03575971114840426,-0.4467712534542443,16.490949366457272,3.0909098501322045,0.4467712534542443,16.490949366457272,0,0.0
landfall_transition,fixed_regime,boundary_layer_depth_plus_30pct,one_at_a_time,2.4036021054820953,0.019089579885397834,0.30605366119607424,-10.331819146831577,2.4036021054820953,0.30605366119607424,10.331819146831577,0,0.0
landfall_transition,fixed_regime,fast_kappa_minus_30pct,one_at_a_time,-0.07227198188634709,0.00032991926067860167,0.013287285039268681,0.33455102120733216,0.561107654548465,0.0343426385982184,0.562902600899946,0,0.0
landfall_transition,fixed_regime,fast_kappa_plus_30pct,one_at_a_time,0.06354165351419638,-0.0004314422603648449,-0.01773878216170033,-0.29126318972315346,0.5864966548777275,0.03475771318539955,0.6033044174440079,0,0.0
landfall_transition,fixed_regime,Ck_and_depth_minus_30pct,ratio_preserving_structural_control,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,0,0.0
landfall_transition,fixed_regime,Ck_and_depth_plus_30pct,ratio_preserving_structural_control,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,0,0.0
landfall_transition,full_markov,Ck_minus_30pct,one_at_a_time,3.2810529703444278,0.02457243663423503,0.3599962880308567,-13.663275164909749,3.2810529703444278,0.3599962880308567,13.663275164909749,0,0.14682919674455516
landfall_transition,full_markov,Ck_plus_30pct,one_at_a_time,-2.30097714663394,-0.025156753121195585,-0.2649508258255082,11.878375599829255,2.30097714663394,0.2649508258255082,11.878375599829255,0,0.207279232054563
landfall_transition,full_markov,boundary_layer_depth_minus_30pct,one_at_a_time,-3.0909098501322045,-0.03575971114840426,-0.3611972671426429,16.490949366457272,3.0909098501322045,0.3611972671426429,16.490949366457272,0,0.31607180615443203
landfall_transition,full_markov,boundary_layer_depth_plus_30pct,one_at_a_time,2.4036021054820953,0.019089579885397834,0.2644039340358404,-10.331819146831577,2.4036021054820953,0.2644039340358404,10.331819146831577,0,0.11717282623629202
landfall_transition,full_markov,fast_kappa_minus_30pct,one_at_a_time,-0.07227198188634709,0.00032991926067860167,0.08033992032892456,0.33455102120733216,0.561107654548465,0.0822158026114721,0.562902600899946,0,0.12823784106768638
landfall_transition,full_markov,fast_kappa_plus_30pct,one_at_a_time,0.06354165351419638,-0.0004314422603648449,-0.08647197694222086,-0.29126318972315346,0.5864966548777275,0.08770880763336208,0.6033044174440079,0,0.12141681156021789
landfall_transition,full_markov,Ck_and_depth_minus_30pct,ratio_preserving_structural_control,0.0,0.0,-2.2737367544323206e-13,1.4210854715202004e-14,0.0,2.2737367544323206e-13,1.4210854715202004e-14,0,0.0
landfall_transition,full_markov,Ck_and_depth_plus_30pct,ratio_preserving_structural_control,0.0,0.0,-2.2737367544323206e-13,1.4210854715202004e-14,0.0,2.2737367544323206e-13,1.4210854715202004e-14,0,6.437450399132683e-20
