SID,NAME,crossing_time,crossing_lon,crossing_lat,segment_hours,fraction,original_JTWC,JTWC,original_JMA,JMA,original_CMA,CMA,original_HKO,HKO,original_KMA,KMA,all_original,available_count,common_intensity_ms,disagreement_ms
2002178N10139,RAMMASUN,2002-07-05 22:35:23.239169516+00:00,126.5474471645498,36.24744716454979,6.0,0.7649647763665257,True,17.30741009413521,True,21.182340603012772,True,19.463389708004044,True,21.182340603012772,False,,False,4,20.32286515550841,
2002189N21116,NAKRI,2002-07-09 15:59:01.795966333+00:00,120.59838322128707,24.432794407095685,6.0,0.6639720354784231,True,16.74516666666667,True,20.57777777777778,True,18.766933333333334,True,20.57777777777778,False,,False,4,19.672355555555555,
2002195N11172,FENGSHEN,2002-07-27 18:27:43.639753534+00:00,120.06919185641607,35.87702035895991,6.0,0.07702035895991344,False,,True,,True,14.322133333333335,True,15.235219854453112,False,,False,2,14.778676593893223,
2002199N08130,UNNAMED,2002-07-19 01:15:30.109322785+00:00,125.51124544488391,11.525836370077371,6.0,0.20972728346228564,True,14.353000000000002,False,,True,14.322133333333335,False,,False,,False,2,14.337566666666667,
2002214N19120,KAMMURI,2002-08-04 23:24:20.764196852+00:00,115.68019226108197,22.92076904432786,6.0,0.9009613054098224,True,23.92166666666667,True,25.97697175330696,True,23.999071459809613,True,25.97697175330696,False,,False,4,24.988021606558284,
2002222N11131,UNNAMED,2002-08-13 09:06:30.948173985+00:00,121.67104087600109,14.4,6.0,0.5180994524993139,True,10.721453093046225,False,,False,,False,,False,,False,1,10.721453093046225,
2002227N14115,VONGFONG,2002-08-19 11:41:58.208669511+00:00,110.62504146598354,21.229883895246143,6.0,0.9499170680329598,True,26.31383333333334,True,20.57777777777778,True,28.396923759992113,True,25.722222222222225,False,,False,4,26.01802777777778,
2002234N14164,RUSA,2002-08-29 11:30:26.527030874+00:00,129.57389470704692,28.358947384973938,6.0,0.9178947699478783,True,38.27466666666667,True,38.583333333333336,True,38.02773333333333,True,43.72777777777778,False,,False,4,38.429,
2002240N16155,SINLAKU,2002-09-07 11:23:41.055777589+00:00,120.5109647520672,27.2,6.0,0.8991229526661755,True,31.339481376730397,True,31.38562303239512,True,34.031311633322716,True,34.21732343748157,False,,False,4,32.708467332858916,
2002252N20121,HAGUPIT,2002-09-11 20:08:32.880489823+00:00,111.77150663945423,21.707123340136437,6.0,0.357077800454789,True,11.960833333333335,True,,True,21.942111769487283,True,23.885255315438144,False,,False,3,21.942111769487283,
2002264N13114,MEKKHALA,2002-09-25 13:01:22.498956024+00:00,109.0659027874442,18.368194425111575,6.0,0.1704860627789344,True,26.31383333333334,True,22.711471960740855,True,21.224949032106792,True,20.57777777777778,False,,False,4,21.968210496423822,
2002268N15163,HIGOS,2002-10-01 10:46:19.490092726+00:00,139.57255482168347,35.26557496701174,6.0,0.7953467635521747,True,39.74336061803449,True,35.01812969681127,True,32.92139501885809,True,33.965302491529684,False,,False,4,34.49171609417048,
2003098N03159,KUJIRA,2003-04-25 09:37:50.712137141+00:00,132.42050224761874,33.37076367999984,6.0,0.6051255619046856,True,14.353000000000002,False,,False,,False,,False,,False,1,14.353000000000002,
2003144N16119,LINFA,2003-05-26 22:25:27.775619688+00:00,119.76869850971502,16.1,6.0,0.7373970194300341,True,26.31383333333334,True,25.04674899997837,True,23.186836565316717,True,25.04674899997837,False,,False,4,25.04674899997837,
2003196N05150,IMBUDO,2003-07-22 02:27:00.710915713+00:00,122.34661400624344,16.645019747658704,6.0,0.40836624609784167,True,50.13543272479807,True,40.10514682253722,True,42.9664,True,46.771404756185554,False,,False,4,44.86890237809278,
2003196N11137,KONI,2003-07-17 03:17:56.340603573+00:00,125.04020329980142,11.109966116699757,6.0,0.5498305834987889,True,20.214213605840314,True,,True,14.322133333333335,True,15.433333333333334,False,,False,3,15.433333333333334,
2003212N09150,ETAU,2003-08-08 12:41:50.324411457+00:00,134.09297497820216,33.32784059502795,6.0,0.1162187227526772,True,42.50297089077694,True,37.08863142681974,True,36.93719882234101,True,43.12989701517234,False,,False,4,39.79580115879834,
2003212N12130,MORAKOT,2003-08-03 13:09:45.880007151+00:00,120.88372555535688,22.35503259285747,6.0,0.1937907410718367,True,30.63458691556599,True,22.65152714935411,True,23.7056,True,23.150000000000002,False,,False,4,23.4278,
2003226N07156,KROVANH,2003-08-22 12:00:45.036492357+00:00,122.19645546124963,17.499582995441138,6.0,0.0020850227943185473,True,38.26469122261105,True,33.417436321027346,True,33.58293333333334,True,33.43888888888889,False,,False,4,33.51091111111111,
2003230N18125,VAMCO,2003-08-20 01:26:48.021988862+00:00,120.6142205934176,27.589334554936784,6.0,0.24111212911398638,True,15.591605870275654,False,,True,20.53936089834906,True,14.813139356779024,False,,False,3,15.591605870275654,
2003240N20139,DUJUAN,2003-09-02 16:37:11.215430022+00:00,113.1600726453683,22.523003632268416,6.0,0.7699636773158431,True,33.29930755965714,True,24.925113623379413,True,25.97774543792565,True,33.23348483117255,False,,False,4,29.605615134549097,
2003259N13133,CHOI-WAN,2003-09-19 21:41:18.456860303+00:00,129.19179469852975,28.16884602389731,6.0,0.6147433731621845,True,31.098166666666668,True,30.866666666666667,True,28.64426666666667,True,32.44792323207829,False,,False,4,30.982416666666666,
