scenario,intensity_bin,distance_bin_start_km,records,storms,median_disagreement_ms,lower_95_ms,upper_95_ms
S088,>=50.9,0,66,36,4.1318914670775815,3.7658626450171813,4.659665005751719
S088,>=50.9,100,59,33,4.10296842937457,3.6885802990605043,4.564659496783988
S088,>=50.9,200,59,30,4.102741373120664,3.4911035412606197,4.615651059259082
S088,>=50.9,300,37,23,4.212331929214093,3.4864427952489327,5.396649237992581
S088,>=50.9,400,38,24,3.8690394841867404,3.2758568401466834,4.344285196126511
S088,>=50.9,500,26,16,5.289256489353255,4.717354011993282,5.760282020136354
S088,>=50.9,600,28,16,4.3771906448580316,3.7468059367287982,5.831184547945426
S088,>=50.9,700,25,14,4.614458270744727,4.159450516464111,5.539486562418027
S088,>=50.9,800,10,6,4.759946770373491,4.627863991236422,6.3892525407926
S093,17.2-24.4,0,209,98,1.5873191461403413,1.5080313917631853,1.8604917295312875
S093,17.2-24.4,100,209,102,1.642965139009348,1.5873191461403413,1.8079469147879759
S093,17.2-24.4,200,210,108,1.6189248711703166,1.530053260115518,1.6744056346530933
S093,17.2-24.4,300,134,77,1.62527384667412,1.5266939572281792,1.7656599713267787
S093,17.2-24.4,400,93,54,1.5827157358535728,1.4471460296769898,1.7232337807480194
S093,17.2-24.4,500,79,46,1.461377218217778,1.1306922470900855,1.5873191461403413
S093,17.2-24.4,600,59,42,1.6316228221779232,1.5080313917631853,1.8344125181891042
S093,17.2-24.4,700,58,31,1.3793715852662745,0.9991326983507146,1.6894953954756258
S093,17.2-24.4,800,41,21,1.5869406248159885,1.4100958820739729,1.8567824454824675
S093,17.2-24.4,900,17,12,1.1885359090645102,0.9929284212760648,2.072337775801122
S093,17.2-24.4,1000,8,6,1.582760794857407,0.5347451419272687,2.444012886268588
S093,24.5-32.6,0,183,80,2.045088464481563,1.818754290383978,2.3841555775319163
S093,24.5-32.6,100,149,81,2.0558425566848597,1.8297900123669983,2.1608246688260975
S093,24.5-32.6,200,119,70,1.8626810759537042,1.7936325224127685,1.9917851262400574
S093,24.5-32.6,300,97,56,1.912071730865583,1.6203595424137671,2.1191314870385054
S093,24.5-32.6,400,64,39,1.8207818629755832,1.4938407270365495,2.0643572924792704
S093,24.5-32.6,500,48,32,1.5503612572960432,1.3050351389810584,1.990934561859063
S093,24.5-32.6,600,34,24,1.9099348561585758,1.4813338225405055,2.2632796094425722
S093,24.5-32.6,700,28,22,1.912013070423245,1.7013277459779959,2.033911917190341
S093,24.5-32.6,800,22,17,1.802141961857441,1.325981927739347,2.18511027187911
S093,32.7-41.4,0,171,77,2.5064047995652956,2.2587052276213373,2.9678620578573285
S093,32.7-41.4,100,158,80,2.490718384302602,2.232974541378484,2.697788065196385
S093,32.7-41.4,200,132,64,2.326479076897834,2.011167245140475,2.5162423870761184
S093,32.7-41.4,300,108,56,2.261206580924571,2.0996254496139706,2.509122287421354
S093,32.7-41.4,400,45,32,2.137396254798041,1.795063200930078,2.5162423870761184
S093,32.7-41.4,500,56,32,1.9373915288362915,1.7009621482350505,2.8244677282718915
S093,32.7-41.4,600,33,20,2.377851040698951,1.9736424939939772,2.8843492055882867
S093,32.7-41.4,700,39,18,2.0055931882649616,1.598853276346506,2.657825331681599
S093,32.7-41.4,800,30,14,2.161415356093694,1.7269157510600393,3.0475404049985575
S093,32.7-41.4,900,8,6,2.5165781672617316,1.1966026435364925,3.195970532825884
S093,41.5-50.8,0,130,49,3.072533883155381,2.7601313225870125,3.546590596315926
S093,41.5-50.8,100,94,46,3.0959547053861236,2.6715313484180285,3.4087921182447314
S093,41.5-50.8,200,92,44,3.132758930097422,2.9243250431172125,3.57346827391355
S093,41.5-50.8,300,75,38,2.9586871364396323,2.4399813111204955,3.1390083089023593
S093,41.5-50.8,400,56,30,2.769589057537657,2.202379867078697,3.2435010314682833
S093,41.5-50.8,500,39,22,3.550471047347015,3.0326672353671023,4.147731104416394
S093,41.5-50.8,600,33,18,3.40994330098766,2.2540311564608637,4.513839451733382
S093,41.5-50.8,700,12,7,2.8827789828693717,2.2310157248368143,4.60117914727127
S093,41.5-50.8,800,16,8,3.4062812505322966,2.4712660306954275,4.554727373760581
S093,>=50.9,0,73,36,4.9144256056990665,4.540886617075544,5.5011408931171655
S093,>=50.9,100,60,33,5.0000864264976155,4.441297539800393,5.576396959963166
S093,>=50.9,200,61,31,4.88212981824506,4.185931105397677,5.636072176107784
S093,>=50.9,300,37,23,4.9463580524574935,4.50053982849575,6.241892901520291
S093,>=50.9,400,38,24,5.124622532064765,4.348257180404383,5.712516292456439
S093,>=50.9,500,26,16,6.42806827427191,5.413688349551909,7.047501730647639
S093,>=50.9,600,29,16,5.495027201835637,4.964655433258955,6.992666797145512
S093,>=50.9,700,25,14,5.495027201835637,5.196080401311058,6.087555687733727
S093,>=50.9,800,10,6,5.78504152800493,5.5425815659501,7.342354694486935
